amfi_code,scheme_name,category,cagr_3yr,sharpe_ratio,alpha,expense_ratio_pct,max_drawdown,fund_score,overall_rank
125497,HDFC Top 100 Fund - Direct Plan - Growth,Equity,0.18434488610520172,0.7895427197023165,0.17729754927531766,0.92,-0.15200013055606398,58.625,15
118635,Nippon India ETF Nifty 50 BeES,Equity,0.20008208380471482,0.680395062140252,0.1513635464823924,0.89,-0.1165062450540909,58.375,16
118633,Nippon India Large Cap Fund - Direct - Growth,Equity,0.2108997654925684,0.6596198173038671,0.15643835948169668,0.72,-0.18629743138595511,57.9375,17
102885,UTI Nifty 50 Index Fund - Regular - Growth,Equity,0.1966726206830185,0.8328147683762689,0.17048756803412696,1.57,-0.1085986215250232,54.375,18
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Equity,0.14748035533586012,0.9393621577599308,0.20873010086942337,1.52,-0.1527259422823477,53.4375,19
120503,ICICI Pru Bluechip Fund - Regular - Growth,Equity,0.13978381933703043,0.8125023019488139,0.17703302365844073,1.42,-0.13897862823061635,53.0,20
120507,ICICI Pru Liquid Fund - Regular - Growth,Debt,0.07394286300360076,0.9041623305389638,0.06746210411099539,0.74,-0.0009773140045925555,52.375,21
120506,ICICI Pru Value Discovery Fund - Regular - Growth,Equity,0.1842199653744454,0.6621241011051731,0.1625385327998104,1.41,-0.1982565826298267,50.5,22
119093,Axis Bluechip Fund - Direct - Growth,Equity,0.20816771175535864,0.1440412221042839,0.08232801295222093,0.75,-0.21751396370148224,47.0,23
102887,UTI Flexi Cap Fund - Regular - Growth,Equity,0.25556187904126526,0.6323192432780438,0.16211256794033255,1.64,-0.21539827112383225,45.5625,24
120844,Kotak Liquid Fund - Regular - Growth,Debt,0.06695971624586994,0.30425182333434503,0.06455677495375998,0.6,-0.0011629327956168556,44.875,25
149322,DSP Top 100 Equity Fund - Regular - Growth,Equity,0.18044206486636138,0.4780917280523979,0.13173190226099432,1.54,-0.14844576917771746,43.6875,26
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,Equity,0.11245222866621418,0.3116040974052224,0.11989100971217971,0.78,-0.21117279560132118,42.125,27
120841,Kotak Bluechip Fund - Regular - Growth,Equity,0.1726727508371786,0.5092559163430057,0.13042924450705445,1.59,-0.1757361416468729,39.375,28
118634,Nippon India Small Cap Fund - Regular - Growth,Equity,0.08007927728656083,0.4564261243061779,0.1750072167561127,1.53,-0.2334488614483311,38.3125,29
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,Debt,0.05840358798463097,-0.17572336328229407,0.05620895216638369,0.77,-0.04328728923970093,35.0,30
118636,Nippon India Gilt Securities Fund - Regular - Growth,Debt,0.040622050237771434,-0.30601321923949243,0.05074772999976104,0.55,-0.08316361763638702,34.625,31
101208,ABSL Liquid Fund - Regular - Growth,Debt,0.06315784491375509,-0.41722938246152685,0.060861457957871144,0.79,-0.0016224980244717857,33.5,32
100025,HDFC Short Term Debt Fund - Regular - Growth,Debt,0.039163899571040384,-0.5154378235861931,0.042817920315060876,0.56,-0.04308263824636349,31.25,33
120842,Kotak Emerging Equity Fund - Regular - Growth,Equity,0.07756003551327284,0.08727318479040216,0.0780443887615508,1.56,-0.24003511326274884,27.0,34
119599,SBI Small Cap Fund - Direct Plan - Growth,Equity,-0.01337386614488112,-0.04910116945430198,0.048824215945539845,0.72,-0.5257422117012851,23.3125,35
119092,Axis Bluechip Fund - Regular - Growth,Equity,0.005258871209757432,0.045245322990343645,0.0689952982167755,1.64,-0.1440161790933726,21.9375,36
101207,ABSL Small Cap Fund - Regular - Growth,Equity,-0.04152381044854481,0.170480695188316,0.10897091901704538,1.53,-0.3544691649336603,21.4375,37
119095,Axis Small Cap Fund - Regular - Growth,Equity,-0.11705806723995271,-0.06792567846937411,0.04801595363775955,1.38,-0.5167775370852656,16.625,38
100016,HDFC Top 100 Fund - Regular Plan - Growth,Equity,0.01292649342495622,-0.18765046878624003,0.03747580763443281,1.55,-0.24734440880673303,13.75,39
102886,UTI Mid Cap Fund - Regular - Growth,Equity,-0.007674063178547241,-0.19470738058320314,0.02896939786637944,1.51,-0.2800112356639287,13.6875,40
